year,market_segment,domestic_revenue
2001,hardware,2.98
2001,software,0.9
2001,it_services,3.2
2001,telecommunication_services,5.85
2001,content_services,1.32
2002,hardware,2.74
2002,software,1.02
2002,it_services,3.65
2002,telecommunication_services,6.07
2002,content_services,1.6
2003,hardware,6.17
2003,software,3.76
2003,it_services,2.56
2003,telecommunication_services,1.66
2003,content_services,0.9
2004,hardware,6.11
2004,software,3.28
2004,it_services,2.68
2004,telecommunication_services,1.64
2004,content_services,1.2
2005,hardware,6.49
2005,software,4.59
2005,it_services,2.54
2005,telecommunication_services,1.58
2005,content_services,0.63
2006,hardware,4.15
2006,software,1.68
2006,it_services,2.91
2006,telecommunication_services,5.49
2006,content_services,2.21
2007,hardware,5.21
2007,software,1.69
2007,it_services,4.42
2007,telecommunication_services,5.83
2007,content_services,0.98
2008,hardware,6.16
2008,software,2.13
2008,it_services,6.24
2008,telecommunication_services,7.2
2008,content_services,1.09
2009,hardware,16.1
2009,software,6.4
2009,it_services,7.1
2009,telecommunication_services,9.4
2009,content_services,1.3
2010,hardware,13.7
2010,software,3
2010,it_services,7.5
2010,telecommunication_services,10.6
2010,content_services,1.5
2011,hardware,13.9
2011,software,3.3
2011,it_services,6.7
2011,telecommunication_services,9.7
2011,content_services,2.2
2012,hardware,13.9
2012,software,3.3
2012,it_services,7.5
2012,telecommunication_services,9.2
2012,content_services,1.5
2013,hardware,15.9
2013,software,9.7
2013,it_services,10.2
2013,telecommunication_services,10.8
2013,content_services,1.9
2014,hardware,17
2014,software,10.5
2014,it_services,10
2014,telecommunication_services,11
2014,content_services,2.1
2015,hardware,20.5
2015,software,10.2
2015,it_services,10.2
2015,telecommunication_services,9.9
2015,content_services,2.6
2016,hardware,19.3
2016,software,7.4
2016,it_services,10.6
2016,telecommunication_services,9
2016,content_services,1.7
2017,hardware,18.8
2017,software,6.9
2017,it_services,20.7
2017,telecommunication_services,7.9
2017,content_services,0
