year,age,media_activity,sample_size,ever_used
2013,15-19,Watch MediaCorp TV,161,8.8
2013,15-19,Watch Singtel TV,161,0.7
2013,15-19,Watch StarHub TV,161,1.5
2013,15-19,Watch animation,161,0.7
2013,15-19,Access news,161,28.1
2013,15-19,Read magazines,161,1.5
2013,15-19,Listen to the radio,161,20.6
2013,15-19,Watch movies,161,11.1
2013,15-19,Watch videos,161,17.9
2013,15-19,Play video games,161,21.6
2013,15-19,Read books,161,17.2
2013,15-19,Listen to music,161,44.6
2013,15-19,Access non-media-related apps and websites,161,60.5
2013,20-29,Watch MediaCorp TV,300,9
2013,20-29,Watch Singtel TV,300,2.6
2013,20-29,Watch StarHub TV,300,2.4
2013,20-29,Watch animation,300,1.2
2013,20-29,Access news,300,33.5
2013,20-29,Read magazines,300,2
2013,20-29,Listen to the radio,300,20.6
2013,20-29,Watch movies,300,9.8
2013,20-29,Watch videos,300,7
2013,20-29,Play video games,300,11.1
2013,20-29,Read books,300,9.2
2013,20-29,Listen to music,300,41.6
2013,20-29,Access non-media-related apps and websites,300,63.5
2013,30-39,Watch MediaCorp TV,383,6.5
2013,30-39,Watch Singtel TV,383,1.4
2013,30-39,Watch StarHub TV,383,2.6
2013,30-39,Watch animation,383,1.9
2013,30-39,Access news,383,31.4
2013,30-39,Read magazines,383,2.4
2013,30-39,Listen to the radio,383,18.9
2013,30-39,Watch movies,383,7.3
2013,30-39,Watch videos,383,5.7
2013,30-39,Play video games,383,10.5
2013,30-39,Read books,383,11.3
2013,30-39,Listen to music,383,22.1
2013,30-39,Access non-media-related apps and websites,383,60.2
2013,40-49,Watch MediaCorp TV,398,7.6
2013,40-49,Watch Singtel TV,398,1.4
2013,40-49,Watch StarHub TV,398,2.7
2013,40-49,Watch animation,398,1.8
2013,40-49,Access news,398,22.6
2013,40-49,Read magazines,398,3.5
2013,40-49,Listen to the radio,398,12.8
2013,40-49,Watch movies,398,6.6
2013,40-49,Watch videos,398,3.9
2013,40-49,Play video games,398,7.2
2013,40-49,Read books,398,9.5
2013,40-49,Listen to music,398,16.1
2013,40-49,Access non-media-related apps and websites,398,43.6
2013,50-59,Watch MediaCorp TV,352,5.7
2013,50-59,Watch Singtel TV,352,1.3
2013,50-59,Watch StarHub TV,352,1.3
2013,50-59,Watch animation,352,0.2
2013,50-59,Access news,352,12.2
2013,50-59,Read magazines,352,1.5
2013,50-59,Listen to the radio,352,13.3
2013,50-59,Watch movies,352,3.9
2013,50-59,Watch videos,352,1.7
2013,50-59,Play video games,352,2.7
2013,50-59,Read books,352,6.6
2013,50-59,Listen to music,352,8.2
2013,50-59,Access non-media-related apps and websites,352,21.2
2013,60-65,Watch MediaCorp TV,146,5.3
2013,60-65,Watch Singtel TV,146,1.6
2013,60-65,Watch StarHub TV,146,0
2013,60-65,Watch animation,146,0
2013,60-65,Access news,146,7.1
2013,60-65,Read magazines,146,1.6
2013,60-65,Listen to the radio,146,7.3
2013,60-65,Watch movies,146,3.4
2013,60-65,Watch videos,146,1.3
2013,60-65,Play video games,146,2.1
2013,60-65,Read books,146,11.5
2013,60-65,Listen to music,146,5.8
2013,60-65,Access non-media-related apps and websites,146,18.5
2014,15-19,Watch MediaCorp TV,179,3
2014,15-19,Watch Singtel TV,179,0.4
2014,15-19,Watch StarHub TV,179,0.7
2014,15-19,Watch videos,179,19
2014,15-19,Watch movies,179,5.4
2014,15-19,Watch animation,179,3.4
2014,15-19,Access news,179,22.4
2014,15-19,Read magazines,179,2.4
2014,15-19,Listen to the radio,179,14.3
2014,15-19,Play video games,179,21.1
2014,15-19,Read books,179,6
2014,15-19,Listen to music,179,60.2
2014,15-19,Access non-media-related apps and websites,179,86.7
2014,20-29,Watch MediaCorp TV,304,6.5
2014,20-29,Watch Singtel TV,304,1.6
